Country,Site,Scenario,Period,CDD (days),CWD (days),FD (days/yr),R95p (mm/yr),Rx1day (mm),Rx5day (mm),SDII (mm/wetday),SU (days/yr),TNn (degC),TR (days/yr),TXx (degC),WBGT (degC),WSDI (days/yr)
Korea,HQ Seoul,SSP5-8.5,2040s,24.2,6.9,48.6,311.78,33.23,52.59,11.8,66.5,3.85,26.3,20.29,12.71,22.7
Korea,HQ Seoul,SSP5-8.5,2050s,31.9,6.4,44.0,384.32,40.34,62.99,13.14,81.3,4.37,40.1,21.38,13.36,33.1
Korea,HQ Seoul,SSP5-8.5,2060s,28.5,5.8,39.5,446.8,37.67,63.89,14.11,92.6,5.09,56.8,21.99,13.92,49.6
Korea,HQ Seoul,SSP5-8.5,2070s,26.2,5.9,27.1,497.15,42.84,72.17,14.39,107.9,5.97,66.3,23.06,14.75,69.9
Korea,HQ Seoul,SSP5-8.5,2080s,30.0,6.5,26.5,464.82,42.53,70.05,14.59,123.3,6.94,81.2,24.01,15.66,76.9
Korea,HQ Seoul,SSP5-8.5,2090s,28.2,7.0,15.7,594.76,49.35,80.48,15.72,131.0,7.88,98.7,24.76,16.53,97.7
Korea,Iksan Plant,SSP2-4.5,2020s,33.3,5.0,7.7,240.48,34.06,50.76,12.31,0.0,6.82,8.5,17.1,11.96,8.0
Korea,Iksan Plant,SSP2-4.5,2030s,30.8,5.4,4.2,320.72,35.77,59.7,12.14,0.2,7.6,14.9,17.77,12.6,16.4
Korea,Iksan Plant,SSP2-4.5,2040s,29.0,5.4,2.4,488.79,42.03,72.1,14.23,0.4,8.29,28.6,18.27,13.16,32.6
Korea,Iksan Plant,SSP2-4.5,2050s,27.7,5.2,1.3,457.18,43.37,65.77,14.26,5.2,8.96,49.0,18.94,13.84,54.3
Korea,Iksan Plant,SSP2-4.5,2060s,31.9,5.4,2.3,409.33,38.73,58.85,13.24,4.2,9.02,52.4,19.01,13.85,56.8
Korea,Iksan Plant,SSP2-4.5,2070s,33.4,5.3,0.3,399.49,38.14,63.97,13.3,7.7,9.06,59.6,19.24,14.12,57.9
Korea,Iksan Plant,SSP2-4.5,2080s,35.6,5.2,0.7,249.43,33.55,54.8,12.72,12.8,9.42,69.7,19.81,14.49,70.0
Korea,Iksan Plant,SSP2-4.5,2090s,27.4,5.1,2.0,347.9,36.72,55.53,12.46,11.6,9.66,72.3,19.64,14.33,70.5
Korea,Iksan Plant,SSP5-8.5,2020s,29.4,5.7,9.1,279.49,32.29,52.35,11.72,0.1,7.05,13.5,17.35,12.22,10.3
Korea,Iksan Plant,SSP5-8.5,2030s,36.0,5.7,5.3,190.65,30.78,47.9,11.47,1.0,7.63,21.2,17.89,12.64,18.2
Korea,Iksan Plant,SSP5-8.5,2040s,28.5,5.4,2.0,524.9,41.16,65.42,14.42,1.5,8.68,37.8,18.7,13.53,39.9
Korea,Iksan Plant,SSP5-8.5,2050s,31.4,5.7,1.0,460.28,43.25,69.35,13.95,6.2,9.27,59.9,19.43,14.21,57.5
Korea,Iksan Plant,SSP5-8.5,2060s,34.9,6.9,0.9,501.38,39.78,65.6,14.53,21.0,9.8,72.8,19.81,14.63,66.4
Korea,Iksan Plant,SSP5-8.5,2070s,30.8,5.5,0.0,537.01,44.33,68.88,15.2,42.9,10.61,94.4,20.59,15.4,85.6
Korea,Iksan Plant,SSP5-8.5,2080s,34.4,6.0,0.0,578.2,47.91,72.73,15.26,66.9,11.76,115.0,21.67,16.34,105.2
Korea,Iksan Plant,SSP5-8.5,2090s,32.1,6.0,0.0,572.34,48.82,76.62,16.04,86.0,12.46,129.7,22.33,17.12,119.1
Korea,Pohang Plant,SSP2-4.5,2020s,28.7,5.2,12.3,279.25,42.18,63.52,14.08,11.1,6.74,36.0,18.88,12.98,10.5
Korea,Pohang Plant,SSP2-4.5,2030s,27.4,6.1,9.9,421.33,42.65,72.25,13.76,13.1,7.46,39.1,19.38,13.46,13.8
Korea,Pohang Plant,SSP2-4.5,2040s,26.4,6.4,5.6,588.92,49.6,88.58,16.93,23.4,8.09,52.8,20.09,14.11,26.3
Korea,Pohang Plant,SSP2-4.5,2050s,22.2,7.0,4.4,521.15,50.33,85.56,15.07,43.2,8.69,66.1,20.6,14.75,43.1
Korea,Pohang Plant,SSP2-4.5,2060s,26.7,6.9,4.8,575.79,49.58,76.42,15.84,44.7,8.9,70.7,20.63,14.81,44.9
